person_index,person_name,website
Hanxiao Jiang,Hanxiao Jiang,ME
Yiming Zhang,Yiming Zhang,"https://github.com/eamonn-zh"
Sanjay Haresh,Sanjay Haresh,https://www.sanjayharesh.com/
Xiaohao Sun,Xiaohao Sun,https://ca.linkedin.com/in/xiaohao-sun-237537195?trk=public_profile_browsemap
Angel X. Chang,Angel X. Chang,https://angelxuanchang.github.io/
Manolis Savva,Manolis Savva,https://msavva.github.io/
Yongsen Mao,Yongsen Mao,https://github.com/SamMaoYS
Xianghao Xu,Xianghao Xu,https://www.linkedin.com/in/xianghao-xu-8b1024a6
David Charatan,David Charatan,http://davidcharatan.com/
Sonia Raychaudhuri,Sonia Raychaudhuri,https://ca.linkedin.com/in/sonia-raychaudhuri
Mae Heitmann,Mae Heitmann,https://www.linkedin.com/in/mae-heitmann-770287118
Vladimir Kim,Vladimir Kim,http://www.vovakim.com/
Siddhartha Chaudhuri,Siddhartha Chaudhuri,https://www.cse.iitb.ac.in/~sidch/
Daniel Ritchie,Daniel Ritchie,https://dritchie.github.io/
Fanbo Xiang,Fanbo Xiang,https://www.fbxiang.com/
Yuzhe Qin,Yuzhe Qin,https://yzqin.github.io/
Kaichun Mo,Kaichun Mo,https://cs.stanford.edu/~kaichun/
Yikuan Xia,Yikuan Xia,https://www.linkedin.com/in/yikuan-xia-4418a9170/
Hao Zhu,Hao Zhu,https://berniezhu.github.io/
Fangchen Liu,Fangchen Liu,https://fangchenliu.github.io/
Minghua Liu,Minghua Liu,http://cseweb.ucsd.edu/~mil070/
Yifu Yuan,Yifu Yuan,""
He Wang,He Wang,http://ai.stanford.edu/~hewang/
Li Yi,Li Yi,https://cs.stanford.edu/~ericyi/
Angel X. Chang,Angel X. Chang,https://angelxuanchang.github.io/
Leonidas J. Guibas,Leonidas J. Guibas,http://geometry.stanford.edu/member/guibas/
Hao Su,Hao Su,http://cseweb.ucsd.edu/~haosu/
Xiangpeng Hao,Xiangpeng Hao,https://www.haoxp.xyz/#/
Brian Funt,Brian Funt,https://www2.cs.sfu.ca/~funt/